europages_prod,ecoinvent_prod,finetune_validation,prompt_validation
frames - armchair,"window frame, wood-metal, U=1.6 W/m2K",no,medium
vermouth wines,green liquor dregs,no,no
vermouth wines,"tempering, flat glass",no,no
vermouth wines,"glass cullet, for Saint-Gobain ISOVER SA",no,no
vermouth wines,"glass tube, borosilicate",no,no
vermouth wines,milking parlour,no,no
food supplements based on essential oils,"mineral supplement, for beef cattle",no,no
food supplements based on essential oils,"protein feed, 100% crude",no,no
food supplements based on essential oils,"vegetable oil, refined",no,no
food supplements based on essential oils,"tilapia feed, 24-28% protein",no,no
food supplements based on essential oils,"diethyl ether, without water, in 99.95% solution state",no,no
wire baskets,"trellis system, wooden poles, soft wood, tar impregnated",no,no
wire baskets,"wire drawing, steel",no,medium
wire baskets,floating collar cage,no,no
wire baskets,"weaving, synthetic fibre",no,medium
wire baskets,"aluminium around steel bi-metal stranded cable, 3x3.67mm external diameter wire",no,no
large boilers,"oil boiler, 10kW",no,no
large boilers,"oil boiler, 100kW",no,no
large boilers,"steam generation system, solar tower power plant, 20 MW",no,no
large boilers,gas boiler,no,medium
large boilers,"coal stove, 5-15kW",no,no
castors for furniture,castor bean,no,no
castors for furniture,"cast iron removed by turning, primarily dressing, computer numerical controlled",no,no
castors for furniture,cast iron,no,no
castors for furniture,"cast iron removed by turning, primarily dressing, conventional",no,no
castors for furniture,"cast iron removed by drilling, computer numerical controlled",no,no
sesame seeds,sesame seed,high,high
sesame seeds,sunflower seed,no,no
sesame seeds,jatropha seed,no,no
sesame seeds,"sunflower seed, for sowing",no,no
sesame seeds,"peanut seed, for sowing",no,no
pinot noir champagne,aubergine,no,no
pinot noir champagne,apricot,no,no
pinot noir champagne,"vinasse, from fermentation of sweet sorghum",no,no
pinot noir champagne,"vinasse, from fermentation of sugar beet molasses",no,no match
pinot noir champagne,"glass cullet, for Saint-Gobain ISOVER SA",no,no
aqua-vitae,prosulfocarb,no,no
aqua-vitae,"water, ultrapure",no,no
aqua-vitae,trout,no,no
aqua-vitae,fennel,no,no
aqua-vitae,cork slab,no,no
monster energy drink 500ml,"expansion vessel, 80l",no,no
monster energy drink 500ml,green liquor dregs,no,no
monster energy drink 500ml,foam glass,no,no
monster energy drink 500ml,"expansion vessel, 25l",no,no
monster energy drink 500ml,"gas motor, 206kW",no,no
deep-frozen ready meals,meat and bone meal,no,no
deep-frozen ready meals,"protein pea, feed, Swiss integrated production",no,medium
deep-frozen ready meals,"frozen fish sticks, hake",no,no match
deep-frozen ready meals,"protein pea, Swiss integrated production",no,medium
deep-frozen ready meals,"tilapia feed, 24-28% protein",no,no
"cb, citizens' band radios","electronic component, passive, mobile, earpiece and speaker",no,no
"cb, citizens' band radios","inductor, miniature radio frequency chip",no,medium
"cb, citizens' band radios","sound insulation, heat and power co-generation unit, 160kW electrical",no,no
"cb, citizens' band radios","silencer, steel, DN 125",no,no
"cb, citizens' band radios","electronic component, active, unspecified",no,no
blowpipes,"swath, by rotary windrower",no,no
blowpipes,"blower and heat exchange unit, central, 600-1200 m3/h",no,medium
blowpipes,"ventilation duct, elbow 90°, steel, 100x50 mm",no,no
blowpipes,"silencer, steel, DN 125",no,no
blowpipes,"blower and heat exchange unit, KWL 250",no,no
high-performance semiconductors,"inductor, low value multilayer chip",no,medium
high-performance semiconductors,"cadmium, semiconductor-grade",no,high
high-performance semiconductors,"cadmium sulfide, semiconductor-grade",no,high
high-performance semiconductors,"gallium, semiconductor-grade",no,high
high-performance semiconductors,"silicon, single crystal, Czochralski process, photovoltaics",no,high
light alloy die-casting,"magnesium-alloy, AZ91, diecast",no,medium
light alloy die-casting,iron-nickel-chromium alloy,no,no
light alloy die-casting,"aluminium, cast alloy",no,high
light alloy die-casting,"steel, chromium steel 18/8, hot rolled",no,no
light alloy die-casting,"casting, bronze",no,no
nitrogen generators,"nitrogen, liquid",no,no
nitrogen generators,"organo-mineral nitrogen fertiliser, as N",no,medium
nitrogen generators,"organic nitrogen fertiliser, as N",no,medium
nitrogen generators,helium,no,no
nitrogen generators,"venting of nitrogen, liquid",no,no
piezoelectric components,"silicon, single crystal, Czochralski process, photovoltaics",no,no
piezoelectric components,"electronic component, passive, mobile, earpiece and speaker",no,no
piezoelectric components,"silicon, single crystal, Czochralski process, electronics",no,no
piezoelectric components,"photovoltaic panel, multi-Si wafer",no,no
piezoelectric components,"photovoltaic panel, single-Si wafer",no,no
gruyere,aubergine,no,no
gruyere,hoeing,no,no
gruyere,whey,no,no
gruyere,cobalt,no,no
gruyere,folpet,no,no
prestigious coffee selections for bars,"coffee, green bean",medium,high
prestigious coffee selections for bars,green liquor dregs,no,no
prestigious coffee selections for bars,coffee maker,no,no
prestigious coffee selections for bars,"building, upmarket hotel",no,no
prestigious coffee selections for bars,"building, budget hotel",no,no
sowing machines,sowing,medium,high
sowing machines,"mowing, by rotary mower",no,no
sowing machines,"mowing, by motor mower",no,no
sowing machines,"tillage, harrowing, by rotary harrow",no,no
sowing machines,"tillage, harrowing, by offset disc harrow",no,no
flour correctors,potato grading,no,no
flour correctors,"delimbing/sorting, excavator-based processor",no,no
flour correctors,breadcrumbs,no,no
flour correctors,wheat flour mix,no,medium
flour correctors,wheat flour,no,medium
mass-produced precision parts,"metal working machine, unspecified",no,medium
mass-produced precision parts,"casting, brass",no,no
mass-produced precision parts,"chromium steel removed by milling, small parts",no,no
mass-produced precision parts,"chromium steel removed by milling, large parts",no,no
mass-produced precision parts,"laser machining, metal, with YAG-laser, 330W power",no,medium
moped engines,"mowing, by motor mower",no,no
moped engines,"mowing, by rotary mower",no,no
moped engines,"machine operation, diesel, >= 74.57 kW, high load factor",no,no
moped engines,"machine operation, diesel, >= 18.64 kW and < 74.57 kW, high load factor",no,no
moped engines,"machine operation, diesel, >= 18.64 kW and < 74.57 kW, low load factor",no,no
fulvic fertilizers,"fertilising, by stool splitter, sugarcane",no,medium
fulvic fertilizers,"organo-mineral nitrogen fertiliser, as N",no,medium
fulvic fertilizers,"fertilising, by broadcaster",no,no
fulvic fertilizers,NPK (26-15-15) fertiliser,no,no
fulvic fertilizers,NPK (15-15-15) fertiliser,no,no
mezzanine floor,anhydrite floor,no,no
mezzanine floor,mattress,no,no
mezzanine floor,tram track,no,no
mezzanine floor,cement cast plaster floor,no,no
mezzanine floor,"spiral-seam duct, steel, DN 400",no,medium
fresh plant pressed juice powder,sugar beet pulp,no,no
fresh plant pressed juice powder,"zeolite, powder",no,high
fresh plant pressed juice powder,grape,no,no
fresh plant pressed juice powder,"mint seedling, for planting",no,no
fresh plant pressed juice powder,palm fruit bunch,no,no
model clothes hangers made of beech,"wood cladding, softwood",no,no
model clothes hangers made of beech,plywood,no,no
model clothes hangers made of beech,"sawlog and veneer log, softwood, debarked, measured as solid wood",no,no
model clothes hangers made of beech,"sawlog and veneer log, paraná pine, measured as solid wood under bark",no,no
model clothes hangers made of beech,"sawnwood, beam, hardwood, dried (u=20%), planed",no,no
slate for coverings,roof tile,no,no
slate for coverings,"cover plaster, mineral",no,no
slate for coverings,fibre cement roof slate,no,high match
slate for coverings,"printed wiring board, for surface mounting, Pb free surface",no,medium
slate for coverings,"printed wiring board, for surface mounting, Pb containing surface",no,no
thermal water treatment plants,"heat pump, 30kW",no,no
thermal water treatment plants,"thermal storage system, solar thermal parabolic trough, 50 MW",no,no
thermal water treatment plants,"heat, solar+electric, multiple-dwelling, for hot water",no,no
thermal water treatment plants,"thermal storage system, solar tower power plant, 20 MW",no,no
thermal water treatment plants,"heat pump, brine-water, 10kW",no,no
mounting parts for precast concrete parts,printed wiring board mounting facility,no,no
mounting parts for precast concrete parts,autoclaved aerated concrete block,no,no
mounting parts for precast concrete parts,"printed wiring board, for through-hole mounting, Pb free surface",no,no
mounting parts for precast concrete parts,"printed wiring board, for surface mounting, Pb free surface",no,medium
mounting parts for precast concrete parts,"printed wiring board mounting facility, surface mounting line",no,medium
trailer skips,"fodder loading, by self-loading trailer",no,no
trailer skips,agricultural trailer,no,no
trailer skips,"excavation, skid-steer loader",no,no
trailer skips,"swath, by rotary windrower",no,no
trailer skips,"maintenance, goods wagon",no,no
cooling conveyors,"heat pump, diffusion absorption, 4kW, future",no,medium
cooling conveyors,"heat transport fluid system, solar thermal parabolic trough, 50 MW",no,no
cooling conveyors,"heat, diffusion absorption heat pump",no,no
cooling conveyors,cooling energy,no,no
cooling conveyors,"blower and heat exchange unit, central, 600-1200 m3/h",no,no
solid door,"door, inner, wood",medium,high
solid door,"door, inner, glass-wood",medium,medium
solid door,"door, outer, wood-glass",medium,medium
solid door,"door, outer, wood-aluminium",medium,medium
solid door,"used door, inner, wood",medium,no
heavy-load ball rollers,"hot rolling, steel",no,no
heavy-load ball rollers,"section bar rolling, steel",no,no
heavy-load ball rollers,"skidding, skidder",no,no
heavy-load ball rollers,"maintenance, lorry 16 metric ton",no,no
heavy-load ball rollers,"sheet rolling, steel",no,no
protective tubes for temperature measurement,"ventilation duct, steel, 100x50 mm",no,no
protective tubes for temperature measurement,"ventilation duct, connection piece, steel, 100x50 mm",no,no
protective tubes for temperature measurement,"insulation spiral-seam duct, rockwool, DN 400, 30 mm",no,medium
protective tubes for temperature measurement,"sealing tape, aluminium/PE, 50 mm wide",no,no
protective tubes for temperature measurement,"ventilation of dwellings, decentralized, 6 x 120 m3/h",no,no
precision broaching machines for metalworking,"metal working machine, unspecified",no,no
precision broaching machines for metalworking,"laser machining, metal, with YAG-laser, 500W power",no,medium
precision broaching machines for metalworking,"laser machining, metal, with YAG-laser, 330W power",no,medium
precision broaching machines for metalworking,"laser machining, metal, with YAG-laser, 120W power",no,medium
precision broaching machines for metalworking,"laser machining, metal, with YAG-laser, 50W power",no,medium
progresivo,mecoprop,no,no
progresivo,prosulfocarb,no,no
progresivo,reformate,no,no
progresivo,propanal,no,no
progresivo,folpet,no,no
hepa filter,"air filter, decentralized unit, 180-250 m3/h",no,medium
hepa filter,"air filter, decentralized unit, 250 m3/h",no,medium
hepa filter,"air filter, central unit, 600 m3/h",no,medium
hepa filter,"used air filter decentralized unit, 250 m3/h",no,medium
hepa filter,"used air filter decentralized unit, 180-250 m3/h",no,medium
jet stream mixer,"absorption chiller, 100kW",no,no
jet stream mixer,"flux, for wave soldering",no,no
jet stream mixer,"inverter, 500kW",no,no
jet stream mixer,"inverter, 0.5kW",no,no
jet stream mixer,"blower and heat exchange unit, decentralized, 180-250 m3/h",no,no
aviary,airport,no,no
aviary,fennel,no,no
aviary,helicopter,no,no
aviary,cocoons,no,no
aviary,almond,no,no
tamper evident labelling,"fluorescent whitening agent, DAS1, triazinylaminostilben type",no,no
tamper evident labelling,"fluorescent whitening agent, distyrylbiphenyl type",no,no
tamper evident labelling,"printed wiring board, surface mounted, unspecified, Pb containing",no,medium
tamper evident labelling,"printed wiring board, surface mounted, unspecified, Pb free",no,medium
tamper evident labelling,"printed wiring board, through-hole mounted, unspecified, Pb free",no,medium
xmas figurines,"contouring, bronze",no,no
xmas figurines,gypsum plasterboard,no,no
xmas figurines,apricot,no,no
xmas figurines,peach,no,no
xmas figurines,pomegranate,no,no
glasswork,"glass wool mat, uncoated, Saint-Gobain ISOVER SA",no,no
glasswork,glass etching factory,no,no
glasswork,"glass, for liquid crystal display",no,no
glasswork,"glass cullet, from used cathode ray tube panels",no,no
glasswork,glass from used cathode ray tube,no,no
bulk hand railing products,"purse seiner maintenance, steel",no,no
bulk hand railing products,"trawler maintenance, steel",no,no
bulk hand railing products,"section bar rolling, steel",no,no
bulk hand railing products,"wire drawing, steel",no,medium
bulk hand railing products,"steel, low-alloyed",no,no
terra-cotta crockery,gypsum plasterboard,no,no
terra-cotta crockery,ceramic tile,no,no
terra-cotta crockery,"wood cladding, softwood",no,no
terra-cotta crockery,"furniture, wooden",no,no
terra-cotta crockery,roof tile,no,no
thin-film evaporator,de-icer,no,no
thin-film evaporator,evaporation of milk,no,no
thin-film evaporator,"purge gas, rich in sodium nitrate",no,no
thin-film evaporator,waste x-ray film,no,no
thin-film evaporator,"selective coat, copper sheet, physical vapour deposition",no,medium
crown organica,cross-laminated timber,no,no
crown organica,"harvesting, by complete harvester, beets",no,no
crown organica,"grass, organic",no,medium
crown organica,"fibre, cotton, organic",no,high
crown organica,aclonifen,no,no
floral crowns,cocoons,no,no
floral crowns,"sawlog and veneer log, eucalyptus ssp., measured as solid wood under bark",no,no
floral crowns,cauliflower,no,no
floral crowns,horticultural fleece,no,no
floral crowns,"funnel glass, for cathode ray tube display",no,no
value added timber products,"sawnwood, hardwood, raw, dried (u=20%)",medium,medium
value added timber products,"sawnwood, hardwood, raw, dried (u=10%)",medium,no
value added timber products,cross-laminated timber,no,high
value added timber products,"sawnwood, board, hardwood, raw, dried (u=10%)",medium,no
value added timber products,"sawnwood, board, hardwood, raw, dried (u=20%)",medium,no
reed diffusers,"inverter, 0.5kW",no,no
reed diffusers,"inverter, 2.5kW",no,no
reed diffusers,"panel glass, for cathode ray tube display",no,no
reed diffusers,"swath, by rotary windrower",no,no
reed diffusers,"used air filter decentralized unit, 250 m3/h",no,medium
industrial burners,"coal stove, 5-15kW",no,no
industrial burners,"industrial furnace, coal, 1-10MW",no,medium
industrial burners,blast oxygen furnace converter,no,no
industrial burners,"industrial furnace, 1MW, oil",no,medium
industrial burners,"blower and heat exchange unit, Avent E 97",no,no
poultry meat,"poultry manure, dried",no,no
poultry meat,"poultry manure, fresh",no,medium
poultry meat,"chicken for slaughtering, live weight",medium,high
poultry meat,meat and bone meal,no,no
poultry meat,"red meat, live weight",medium,no
sensor,"electrode, positive, LaNi5",no,no
sensor,"electrode, negative, LiC6",no,no
sensor,"potentiometer, unspecified",no,no
sensor,"pointing device, optical mouse, with cable",no,medium
sensor,"polarizer, liquid crystals and colour filters, for liquid crystal display",no,no
greenhouse plant,"greenhouse, glass walls and roof",no,high
greenhouse plant,"greenhouse, plastic walls and roof",no,high
greenhouse plant,"asparagus seedling, for planting",no,no
greenhouse plant,planting,no,no
greenhouse plant,"planting with starter fertiliser, by no till planter",no,medium
industrial grease,mustard,no,no
industrial grease,"electrolyte, KOH, LiOH additive",no,no
industrial grease,"residue from mechanical treatment, laser printer",no,no
industrial grease,scandium oxide,no,no
industrial grease,copper oxide,no,no
industrial brush,"shavings, hardwood, measured as dry mass",no,no
industrial brush,dryer,no,no
industrial brush,"shavings, softwood, measured as dry mass",no,no
industrial brush,hair dryer,no,no
industrial brush,"shavings, hardwood, loose, measured as dry mass",no,no
softwood log,"sawnwood, softwood, raw",no,high
softwood log,"wood preservation, dipping/immersion method, water-based, outdoor use, no ground contact",no,no
softwood log,"sawlog and veneer log, softwood, measured as solid wood under bark",medium,high
softwood log,"sawlog and veneer log, softwood, debarked, measured as solid wood",medium,high
softwood log,"wood cladding, softwood",no,medium
meat cutter,"chopping, maize",no,no
meat cutter,meat and bone meal,no,no
meat cutter,"chicken for slaughtering, live weight",no,no
meat cutter,"red meat, live weight",no,medium
meat cutter,"mowing, by rotary mower",no,no
pulp (cellulose),cellulose fibre,medium,high
pulp (cellulose),thermo-mechanical pulp,medium,medium
pulp (cellulose),"pulpwood, softwood, measured as solid wood under bark",no,no
pulp (cellulose),"pulpwood, hardwood, measured as solid wood under bark",no,no
pulp (cellulose),sugar beet pulp,no,no
plan,planing mill,no,high
plan,core board,no,no
plan,"planning, heat and power co-generation unit, 160kW electrical",no,no
plan,"planning, cogen unit mini CHP plant",no,high
plan,"swath, by rotary windrower",no,no
plaster,base plaster,medium,high
plaster,clay plaster,medium,high
plaster,cement plaster,medium,medium
plaster,gypsum plasterboard,no,no
plaster,plaster mixing,medium,medium
electric scooter,"electric scooter, without battery",medium,high match
electric scooter,"charger, for electric scooter",no,no
electric scooter,"electric motor, for electric scooter",medium,high
electric scooter,"powertrain, for electric scooter",no,high
electric scooter,"controller, for electric scooter",no,no match
pre-ground steel,"steel removed by drilling, computer numerical controlled",no,no
pre-ground steel,"steel removed by turning, primarily roughing, computer numerical controlled",no,no
pre-ground steel,"steel removed by turning, primarily dressing, computer numerical controlled",no,no
pre-ground steel,"steel removed by turning, primarily roughing, conventional",no,no
pre-ground steel,"steel removed by drilling, conventional",no,no
"fuels, liquid","hydrogen, liquid",no,no
"fuels, liquid","petrol, 5% ethanol by volume from biomass",no,medium
"fuels, liquid","petrol, 85% ethanol by volume from biomass",no,high
"fuels, liquid","fuel cell, solid oxide, 125kW electrical, future",no,medium
"fuels, liquid",natural gas liquids,no,high
liquid fuel heaters,"heat pump, 30kW",no,no
liquid fuel heaters,"heat pump, diffusion absorption, 4kW, future",no,no
liquid fuel heaters,"heat storage, 2000l",no,no
liquid fuel heaters,"coal stove, 5-15kW",no,no
liquid fuel heaters,"heat pump, for mini CHP plant",no,no
"iron, special grade","steel, chromium steel 18/8",medium,no
"iron, special grade",iron-nickel-chromium alloy,no,no
"iron, special grade","cast iron removed by drilling, computer numerical controlled",no,no
"iron, special grade","chromium steel removed by milling, average",no,no
"iron, special grade","cast iron removed by drilling, conventional",no,no
performing arts,television,no,no
performing arts,intral,no,no
performing arts,"weaving, synthetic fibre",no,no
performing arts,"mercerizing, textile",no,no
performing arts,propanal,no,no
common steels,"steel, chromium steel 18/8, hot rolled",medium,medium
common steels,"steel, chromium steel 18/8",medium,medium
common steels,"steel, low-alloyed",medium,medium
common steels,"steel, low-alloyed, hot rolled",medium,medium
common steels,"welding, arc, steel",no,high
christmas gift packages,folding boxboard carton,no,medium
christmas gift packages,tissue paper,no,medium
christmas gift packages,paper sack,no,no
christmas gift packages,breadcrumbs,no,no
christmas gift packages,"packaging glass, green",no,medium
ceramic floor tile,ceramic tile,medium,high
ceramic floor tile,roof tile,no,no
ceramic floor tile,concrete roof tile,no,no
ceramic floor tile,cement tile,no,no
ceramic floor tile,fibre cement facing tile,no,no
truck parts,"maintenance, goods wagon",no,no
truck parts,road vehicle factory,no,no
truck parts,"maintenance, motor scooter",no,no
truck parts,"maintenance, bus",no,no
truck parts,"electronic component machinery, unspecified",no,no
plastic film,"extrusion, plastic film",no,high
plastic film,"tetrafluoroethylene film, on glass",no,medium
plastic film,plastic tunnel,no,no
plastic film,"packaging film, low density polyethylene",medium,high
plastic film,"glass fibre reinforced plastic, polyester resin, hand lay-up",no,no
modular building,"building, multi-storey",high,no
modular building,"building operation, hostel",no,no
modular building,"building, hall, steel construction",medium,high
modular building,"building, hostel",medium,no
modular building,"building, hall",medium,high
compressed air tool,"compressed air, 1200 kPa gauge",no,high
compressed air tool,"compressed air, 700 kPa gauge",no,high
compressed air tool,"compressed air, 800 kPa gauge",no,high
compressed air tool,"compressed air, 1000 kPa gauge",no,high
compressed air tool,"compressed air, 600 kPa gauge",no,high
water treatment plant,"water works, capacity 6.23E10l/year",no,high
water treatment plant,"water works, capacity 1.1E10l/year",no,no
water treatment plant,"water pump operation, electric",no,no
water treatment plant,"wastewater treatment facility, capacity 1.6E8l/year",no,no
water treatment plant,"wastewater treatment facility, capacity 1.1E10l/year",no,no
